App,Category,Rating,Reviews,Size_MB,Installs,Type,Price_$,Content_Rating,Genres,Last_Updated,Android_Version
App_19,BUSINESS,4.3,2834847,2.5,"100,000+",Free,0.99,Everyone,Music,2024-01-24,4.1 and up
App_20,TOOLS,2.5,3619358,2.5,"1,000,000+",Free,1.99,Everyone,Puzzle,2024-08-31,8.0 and up
App_21,GAME,3.7,1924924,2.5,"1,000+",Free,2.99,Everyone,Business,2024-11-19,4.1 and up
App_22,FINANCE,3.2,4010172,2.5,"1,000,000+",Free,0.99,Teen,Puzzle,2024-05-07,8.0 and up
App_23,PRODUCTIVITY,4.6,4747405,2.5,"10,000,000+",Free,0.0,Mature 17+,Tools,2024-04-02,5.0 and up
App_24,GAME,4.3,2770752,2.5,"10,000+",Paid,1.99,Teen,Puzzle,2024-10-26,5.0 and up
App_25,EDUCATION,4.0,2770384,2.5,"1,000+",Free,0.99,Mature 17+,Puzzle,2024-05-12,8.0 and up
App_26,HEALTH,3.2,3582309,2.5,"100,000+",Free,2.99,Everyone,Puzzle,2024-02-24,8.0 and up
App_27,LIFESTYLE,4.8,3045925,2.5,"10,000,000+",Free,0.99,Everyone,Action,2024-06-06,8.0 and up
App_28,PRODUCTIVITY,2.6,270924,2.5,"10,000+",Free,4.99,Everyone,Health,2024-01-29,8.0 and up
App_29,EDUCATION,2.8,4109813,2.5,"1,000,000+",Free,0.0,Everyone,Music,2024-07-29,8.0 and up
App_30,TOOLS,3.5,362465,2.5,"10,000+",Free,1.99,Mature 17+,Business,2024-06-02,8.0 and up
App_31,EDUCATION,2.8,4474027,2.5,"10,000,000+",Free,4.99,Everyone,Music,2024-10-19,5.0 and up
App_32,HEALTH,4.9,1034596,2.5,"10,000,000+",Free,2.99,Mature 17+,Action,2024-08-09,8.0 and up
App_33,TOOLS,4.5,1746698,2.5,"10,000+",Free,4.99,Mature 17+,Action,2024-04-24,6.0 and up
App_34,PRODUCTIVITY,3.1,3100591,2.5,"1,000,000+",Free,4.99,Teen,Tools,2024-06-06,5.0 and up
App_35,HEALTH,4.0,2661647,2.5,"10,000+",Free,2.99,Everyone,Action,2024-09-15,4.1 and up
App_36,BUSINESS,5.0,3672287,2.5,"10,000,000+",Free,4.99,Everyone,Health,2024-09-07,5.0 and up
App_37,LIFESTYLE,4.7,2084514,2.5,"10,000,000+",Free,1.99,Teen,Action,2024-05-01,4.1 and up
App_38,PRODUCTIVITY,4.0,4157147,2.5,"100,000+",Free,0.99,Mature 17+,Puzzle,2024-10-25,4.1 and up
App_39,BUSINESS,4.8,2254746,2.5,"100,000+",Free,4.99,Everyone,Music,2024-09-19,6.0 and up
App_40,PRODUCTIVITY,5.0,3021382,2.5,"1,000+",Paid,1.99,Mature 17+,Education,2024-02-18,8.0 and up
App_41,TOOLS,4.4,2388239,2.5,"10,000,000+",Free,0.99,Teen,Business,2024-11-24,8.0 and up
App_42,BUSINESS,2.7,3121891,2.5,"100,000+",Free,0.99,Mature 17+,Action,2024-10-23,5.0 and up
App_43,LIFESTYLE,3.5,4854052,2.5,"10,000+",Free,4.99,Everyone,Music,2024-12-27,8.0 and up
App_44,HEALTH,4.6,2471388,2.5,"1,000,000+",Free,1.99,Mature 17+,Tools,2024-03-17,6.0 and up
App_45,ENTERTAINMENT,3.1,3830131,2.5,"10,000+",Free,4.99,Mature 17+,Action,2024-05-06,5.0 and up
App_46,EDUCATION,4.6,3562954,2.5,"1,000,000+",Free,2.99,Everyone,Health,2024-07-15,5.0 and up
App_47,GAME,2.8,1353334,2.5,"100,000+",Free,0.99,Everyone,Action,2024-08-08,5.0 and up
App_48,LIFESTYLE,2.6,3372465,2.5,"1,000+",Free,4.99,Mature 17+,Action,2024-03-31,8.0 and up
App_49,BUSINESS,3.5,4268183,2.5,"10,000+",Free,0.99,Mature 17+,Action,2024-01-08,8.0 and up
App_50,ENTERTAINMENT,2.6,869817,2.5,"10,000+",Free,1.99,Teen,Tools,2024-02-01,8.0 and up
App_51,LIFESTYLE,4.9,4396730,2.5,"10,000+",Free,0.0,Everyone,Action,2024-11-15,5.0 and up
App_52,BUSINESS,4.6,4070038,2.5,"1,000,000+",Free,4.99,Mature 17+,Business,2024-09-25,5.0 and up
App_53,FINANCE,4.5,2664506,2.5,"100,000+",Free,4.99,Everyone,Music,2024-07-09,4.1 and up
App_54,FINANCE,4.1,2872186,2.5,"10,000+",Free,0.99,Teen,Health,2024-12-14,4.1 and up
App_55,LIFESTYLE,3.0,1369287,2.5,"10,000+",Free,1.99,Mature 17+,Action,2024-06-11,8.0 and up
App_56,FINANCE,3.8,749981,2.5,"1,000+",Free,2.99,Mature 17+,Action,2024-03-01,5.0 and up
App_57,BUSINESS,4.0,2593669,2.5,"1,000+",Free,1.99,Mature 17+,Action,2024-09-20,8.0 and up
App_58,BUSINESS,3.8,4166243,2.5,"100,000+",Free,4.99,Everyone,Action,2024-10-11,8.0 and up
App_59,LIFESTYLE,3.2,4460286,2.5,"100,000+",Free,2.99,Teen,Puzzle,2024-04-04,4.1 and up
App_60,ENTERTAINMENT,3.8,4075847,2.5,"10,000,000+",Free,1.99,Everyone,Puzzle,2024-02-10,6.0 and up
App_61,HEALTH,3.7,1342067,2.5,"1,000+",Free,0.0,Mature 17+,Education,2024-05-28,8.0 and up
App_62,PRODUCTIVITY,5.0,2233716,2.5,"10,000,000+",Free,0.99,Teen,Action,2024-07-22,6.0 and up
App_63,ENTERTAINMENT,4.7,485767,2.5,"1,000,000+",Free,1.99,Mature 17+,Education,2024-09-23,6.0 and up
App_64,TOOLS,3.7,2054386,2.5,"10,000,000+",Free,1.99,Mature 17+,Business,2024-01-02,5.0 and up
App_65,BUSINESS,4.1,2279186,2.5,"10,000+",Free,0.0,Everyone,Education,2024-06-26,5.0 and up
App_66,TOOLS,4.4,1185121,2.5,"10,000,000+",Free,4.99,Mature 17+,Music,2024-07-12,8.0 and up
App_67,ENTERTAINMENT,2.6,4961838,2.5,"100,000+",Free,0.99,Teen,Puzzle,2024-12-01,4.1 and up
App_68,PRODUCTIVITY,4.7,2392929,2.5,"1,000,000+",Free,1.99,Mature 17+,Puzzle,2024-07-14,4.1 and up
App_69,PRODUCTIVITY,4.7,1500958,2.5,"10,000+",Free,2.99,Mature 17+,Action,2024-12-08,8.0 and up
App_70,GAME,3.6,4107844,2.5,"10,000,000+",Free,1.99,Everyone,Action,2024-09-05,8.0 and up
App_71,PRODUCTIVITY,3.5,2408640,2.5,"1,000,000+",Paid,0.99,Teen,Business,2024-07-30,4.1 and up
App_72,HEALTH,3.2,1594928,2.5,"1,000,000+",Free,1.99,Everyone,Health,2024-06-01,6.0 and up
App_73,PRODUCTIVITY,3.7,4668180,2.5,"10,000+",Paid,0.0,Mature 17+,Business,2024-06-06,8.0 and up
App_74,ENTERTAINMENT,2.6,2703004,2.5,"10,000,000+",Free,1.99,Everyone,Music,2024-12-27,6.0 and up
App_75,GAME,4.6,2704726,2.5,"1,000,000+",Free,1.99,Everyone,Action,2024-05-18,8.0 and up
App_76,ENTERTAINMENT,2.6,4902454,2.5,"1,000,000+",Free,2.99,Everyone,Action,2024-08-08,8.0 and up
App_77,ENTERTAINMENT,3.3,192522,2.5,"1,000+",Free,0.0,Everyone,Business,2024-09-29,6.0 and up
App_78,EDUCATION,4.8,3714389,2.5,"1,000,000+",Free,0.0,Mature 17+,Business,2024-06-02,6.0 and up
App_79,GAME,4.3,4385734,2.5,"1,000+",Free,1.99,Mature 17+,Business,2024-09-05,4.1 and up
App_80,ENTERTAINMENT,3.2,4904958,2.5,"10,000,000+",Free,2.99,Teen,Puzzle,2024-10-05,8.0 and up
App_81,EDUCATION,3.1,1549430,2.5,"10,000,000+",Paid,1.99,Everyone,Education,2024-10-30,5.0 and up
App_82,EDUCATION,2.5,2075925,2.5,"10,000,000+",Free,1.99,Everyone,Education,2024-10-02,5.0 and up
App_83,GAME,4.2,3348934,2.5,"100,000+",Free,0.99,Teen,Action,2024-01-02,8.0 and up
App_84,TOOLS,2.6,3345657,2.5,"10,000,000+",Free,0.99,Everyone,Puzzle,2024-03-28,8.0 and up
App_85,HEALTH,3.8,3900389,2.5,"1,000,000+",Free,2.99,Teen,Business,2024-10-13,8.0 and up
App_86,PRODUCTIVITY,4.9,3804419,2.5,"10,000+",Free,4.99,Mature 17+,Action,2024-05-09,6.0 and up
App_87,HEALTH,2.8,2964942,2.5,"1,000+",Free,0.99,Teen,Puzzle,2024-03-18,5.0 and up
App_88,PRODUCTIVITY,4.7,647351,2.5,"100,000+",Free,4.99,Everyone,Music,2024-09-16,5.0 and up
App_89,ENTERTAINMENT,5.0,1520992,2.5,"10,000,000+",Free,0.0,Teen,Health,2024-08-28,5.0 and up
App_90,BUSINESS,2.7,3329703,2.5,"10,000,000+",Free,0.99,Mature 17+,Puzzle,2024-05-20,8.0 and up
App_91,GAME,4.7,3998432,2.5,"10,000+",Paid,0.99,Everyone,Tools,2024-08-15,6.0 and up
App_92,HEALTH,3.8,1201848,2.5,"10,000+",Free,2.99,Mature 17+,Action,2024-06-11,8.0 and up
App_93,HEALTH,4.8,2164573,2.5,"100,000+",Paid,4.99,Mature 17+,Education,2024-08-23,4.1 and up
App_94,ENTERTAINMENT,3.9,4479835,2.5,"1,000+",Free,0.99,Teen,Tools,2024-05-07,4.1 and up
App_95,TOOLS,4.2,3585691,2.5,"10,000,000+",Free,0.99,Mature 17+,Business,2024-07-18,5.0 and up
App_96,EDUCATION,3.9,4408295,2.5,"100,000+",Free,2.99,Everyone,Health,2024-01-31,8.0 and up
App_97,ENTERTAINMENT,4.7,4975240,2.5,"1,000,000+",Free,2.99,Mature 17+,Music,2024-05-17,4.1 and up
App_98,FINANCE,4.3,2384301,2.5,"1,000,000+",Free,4.99,Mature 17+,Health,2024-01-21,4.1 and up
App_99,EDUCATION,3.8,2095598,2.5,"100,000+",Free,0.0,Teen,Health,2024-08-21,8.0 and up
App_100,GAME,4.7,2655992,2.5,"10,000,000+",Free,0.0,Mature 17+,Puzzle,2024-07-20,6.0 and up
App_101,EDUCATION,3.1,4204965,2.5,"100,000+",Free,1.99,Teen,Action,2024-10-05,8.0 and up
App_102,TOOLS,2.9,3244977,2.5,"10,000,000+",Free,0.99,Teen,Action,2024-05-10,8.0 and up
App_103,EDUCATION,2.9,2985706,2.5,"10,000+",Free,4.99,Everyone,Health,2024-05-27,6.0 and up
App_104,GAME,3.3,437635,2.5,"100,000+",Free,0.99,Everyone,Business,2024-01-29,5.0 and up
App_105,TOOLS,3.1,3301116,2.5,"10,000,000+",Free,4.99,Everyone,Action,2024-12-26,5.0 and up
App_106,HEALTH,4.8,1372080,2.5,"100,000+",Free,4.99,Everyone,Health,2024-11-03,5.0 and up
App_107,HEALTH,2.8,2430731,2.5,"100,000+",Free,4.99,Teen,Action,2024-06-10,6.0 and up
App_108,PRODUCTIVITY,4.2,2593736,2.5,"10,000,000+",Paid,0.99,Mature 17+,Business,2024-12-22,4.1 and up
App_109,EDUCATION,3.0,4018290,2.5,"10,000,000+",Free,2.99,Everyone,Music,2024-12-05,6.0 and up
App_110,HEALTH,4.7,2542027,2.5,"1,000+",Free,0.99,Everyone,Tools,2024-03-01,8.0 and up
App_111,GAME,4.9,4450262,2.5,"100,000+",Free,4.99,Everyone,Health,2024-05-04,6.0 and up
App_112,LIFESTYLE,3.7,1570067,2.5,"1,000,000+",Free,1.99,Mature 17+,Education,2024-03-11,4.1 and up
App_113,LIFESTYLE,4.7,861079,2.5,"100,000+",Free,0.0,Everyone,Education,2024-11-21,4.1 and up
App_114,TOOLS,2.5,856636,2.5,"100,000+",Free,4.99,Mature 17+,Health,2024-12-29,8.0 and up
App_115,HEALTH,4.5,2161362,2.5,"10,000,000+",Free,1.99,Teen,Puzzle,2024-08-30,5.0 and up
App_116,HEALTH,3.1,106032,2.5,"100,000+",Free,2.99,Teen,Music,2024-09-05,4.1 and up
App_117,LIFESTYLE,4.8,2799141,2.5,"100,000+",Free,4.99,Teen,Puzzle,2024-08-08,4.1 and up
App_118,HEALTH,2.5,4975055,2.5,"1,000,000+",Free,1.99,Mature 17+,Tools,2024-01-21,4.1 and up
App_119,EDUCATION,3.9,3207806,2.5,"10,000,000+",Free,4.99,Everyone,Education,2024-03-22,8.0 and up
App_120,FINANCE,4.4,470539,2.5,"100,000+",Paid,0.99,Everyone,Business,2024-12-09,4.1 and up
App_121,BUSINESS,3.1,2983526,2.5,"10,000+",Free,1.99,Everyone,Health,2024-01-10,5.0 and up
App_122,PRODUCTIVITY,3.0,161455,2.5,"1,000+",Free,0.99,Everyone,Tools,2024-01-12,8.0 and up
App_123,TOOLS,2.7,3834252,2.5,"1,000,000+",Free,0.99,Everyone,Action,2024-09-19,5.0 and up
App_124,FINANCE,3.3,3282841,2.5,"100,000+",Free,1.99,Mature 17+,Education,2024-05-24,4.1 and up
App_125,LIFESTYLE,3.9,4418919,2.5,"10,000+",Paid,0.0,Teen,Music,2024-07-10,4.1 and up
App_126,HEALTH,2.8,684039,2.5,"100,000+",Free,1.99,Everyone,Education,2024-09-06,5.0 and up
App_127,PRODUCTIVITY,3.4,510380,2.5,"100,000+",Paid,0.0,Teen,Music,2024-04-23,8.0 and up
App_128,HEALTH,2.5,1752384,2.5,"10,000,000+",Free,4.99,Mature 17+,Music,2024-01-26,8.0 and up
App_129,GAME,4.5,4415286,2.5,"10,000,000+",Free,4.99,Mature 17+,Health,2024-09-27,5.0 and up
App_130,GAME,2.8,3999704,2.5,"10,000,000+",Free,1.99,Everyone,Music,2024-02-02,4.1 and up
App_131,PRODUCTIVITY,3.2,3308515,2.5,"10,000+",Free,4.99,Mature 17+,Puzzle,2024-03-02,6.0 and up
App_132,PRODUCTIVITY,2.5,208954,2.5,"100,000+",Paid,2.99,Teen,Tools,2024-08-16,5.0 and up
App_133,LIFESTYLE,3.6,2825504,2.5,"1,000+",Free,0.99,Everyone,Business,2024-10-29,5.0 and up
App_134,PRODUCTIVITY,4.6,1361313,2.5,"1,000,000+",Free,0.99,Everyone,Education,2024-04-04,5.0 and up
App_135,EDUCATION,3.5,4201775,2.5,"10,000,000+",Free,0.0,Teen,Business,2024-02-04,4.1 and up
App_136,HEALTH,2.9,2894110,2.5,"10,000,000+",Free,4.99,Everyone,Tools,2024-07-11,8.0 and up
App_137,FINANCE,4.4,4666815,2.5,"100,000+",Free,0.0,Everyone,Action,2024-03-16,4.1 and up
App_138,ENTERTAINMENT,4.5,1197172,2.5,"100,000+",Free,0.99,Teen,Tools,2024-09-05,5.0 and up
App_139,PRODUCTIVITY,2.9,1046171,2.5,"10,000+",Free,0.99,Everyone,Education,2024-03-23,4.1 and up
App_140,TOOLS,4.4,4688492,2.5,"10,000+",Free,4.99,Everyone,Business,2024-01-25,4.1 and up
App_141,GAME,4.9,1779695,2.5,"10,000,000+",Paid,2.99,Teen,Business,2024-02-26,5.0 and up
App_142,EDUCATION,2.9,1897511,2.5,"100,000+",Free,2.99,Mature 17+,Health,2024-02-01,4.1 and up
App_143,ENTERTAINMENT,4.4,4754629,2.5,"1,000+",Free,4.99,Teen,Health,2024-11-14,6.0 and up
App_144,FINANCE,4.3,673228,2.5,"1,000,000+",Free,4.99,Everyone,Tools,2024-01-12,4.1 and up
App_145,ENTERTAINMENT,3.7,3885260,2.5,"100,000+",Free,0.0,Teen,Tools,2024-11-14,4.1 and up
App_146,PRODUCTIVITY,2.6,603301,2.5,"100,000+",Free,4.99,Everyone,Action,2024-11-28,8.0 and up
App_147,LIFESTYLE,2.7,4902069,2.5,"10,000+",Free,2.99,Everyone,Music,2024-04-01,8.0 and up
App_148,GAME,4.6,2661208,2.5,"1,000,000+",Free,4.99,Teen,Education,2024-01-01,5.0 and up
App_149,GAME,5.0,2179441,2.5,"10,000,000+",Paid,0.0,Everyone,Health,2024-11-21,5.0 and up
App_150,LIFESTYLE,4.2,4209748,2.5,"100,000+",Free,0.0,Mature 17+,Education,2024-05-15,8.0 and up
App_151,HEALTH,3.6,719417,2.5,"10,000,000+",Free,0.0,Everyone,Action,2024-07-14,6.0 and up
App_152,BUSINESS,4.1,2538153,2.5,"100,000+",Free,0.0,Teen,Health,2024-05-12,4.1 and up
App_153,EDUCATION,4.0,337923,2.5,"10,000,000+",Free,1.99,Mature 17+,Health,2024-03-26,6.0 and up
App_154,GAME,3.5,3915780,2.5,"1,000,000+",Free,4.99,Mature 17+,Music,2024-10-21,6.0 and up
App_155,TOOLS,2.7,328831,2.5,"10,000+",Paid,0.99,Everyone,Education,2024-10-05,8.0 and up
App_156,GAME,4.6,2180717,2.5,"1,000,000+",Paid,4.99,Teen,Education,2024-11-19,5.0 and up
App_157,ENTERTAINMENT,3.4,1701253,2.5,"1,000+",Paid,1.99,Everyone,Education,2024-06-28,4.1 and up
App_158,GAME,4.5,3887018,2.5,"10,000+",Paid,0.0,Everyone,Music,2024-01-04,5.0 and up
App_159,GAME,3.1,1812385,2.5,"1,000,000+",Free,1.99,Teen,Health,2024-05-05,6.0 and up
App_160,BUSINESS,2.5,3627457,2.5,"1,000+",Free,2.99,Teen,Action,2024-06-23,6.0 and up
App_161,BUSINESS,2.9,3615662,2.5,"100,000+",Free,2.99,Everyone,Education,2024-09-07,5.0 and up
App_162,FINANCE,3.7,68813,2.5,"100,000+",Free,4.99,Mature 17+,Business,2024-01-21,5.0 and up
App_163,HEALTH,4.9,807754,2.5,"10,000,000+",Free,4.99,Everyone,Music,2024-04-14,8.0 and up
App_164,TOOLS,2.8,748746,2.5,"10,000+",Free,0.99,Mature 17+,Puzzle,2024-03-06,5.0 and up
App_165,GAME,4.6,699549,2.5,"100,000+",Free,0.99,Everyone,Action,2024-09-19,5.0 and up
App_166,GAME,3.8,245414,2.5,"10,000+",Free,2.99,Teen,Business,2024-02-18,8.0 and up
App_167,EDUCATION,4.6,17307,2.5,"100,000+",Free,0.0,Mature 17+,Education,2024-01-16,5.0 and up
App_168,BUSINESS,3.2,788453,2.5,"10,000,000+",Free,1.99,Teen,Puzzle,2024-05-24,6.0 and up
App_169,TOOLS,4.6,3655084,2.5,"1,000,000+",Free,0.99,Teen,Action,2024-12-05,5.0 and up
App_170,FINANCE,4.4,3265972,2.5,"10,000,000+",Free,0.99,Teen,Music,2024-09-06,4.1 and up
App_171,HEALTH,3.1,4762616,2.5,"1,000+",Free,0.0,Teen,Puzzle,2024-12-08,6.0 and up
App_172,LIFESTYLE,2.8,3026404,2.5,"100,000+",Free,0.0,Teen,Health,2024-12-19,8.0 and up
App_173,HEALTH,4.7,1227156,2.5,"1,000+",Free,4.99,Everyone,Tools,2024-03-15,6.0 and up
App_174,ENTERTAINMENT,4.9,2880314,2.5,"1,000+",Free,1.99,Mature 17+,Puzzle,2024-10-16,8.0 and up
App_175,GAME,2.6,1333582,2.5,"10,000+",Free,0.0,Everyone,Tools,2024-10-08,4.1 and up
App_176,FINANCE,4.3,4705917,2.5,"100,000+",Free,0.99,Everyone,Business,2024-03-06,4.1 and up
App_177,ENTERTAINMENT,4.8,615873,2.5,"1,000+",Free,0.99,Everyone,Action,2024-05-04,6.0 and up
App_178,TOOLS,4.6,4701679,2.5,"1,000,000+",Free,2.99,Teen,Business,2024-11-14,5.0 and up
App_179,LIFESTYLE,4.9,3765066,2.5,"1,000+",Free,0.0,Everyone,Business,2024-03-27,6.0 and up
App_180,BUSINESS,4.4,3325325,2.5,"1,000,000+",Free,4.99,Mature 17+,Education,2024-02-10,6.0 and up
App_181,FINANCE,3.6,828801,2.5,"10,000+",Free,1.99,Everyone,Music,2024-07-04,4.1 and up
App_182,FINANCE,3.3,3820897,2.5,"1,000+",Free,4.99,Teen,Puzzle,2024-12-19,8.0 and up
App_183,GAME,3.3,2846284,2.5,"10,000,000+",Free,0.99,Mature 17+,Action,2024-11-30,6.0 and up
App_184,PRODUCTIVITY,4.3,4839508,2.5,"10,000+",Free,4.99,Mature 17+,Health,2024-09-22,5.0 and up
App_185,FINANCE,4.4,4395574,2.5,"1,000,000+",Free,0.99,Mature 17+,Music,2024-09-27,4.1 and up
App_186,EDUCATION,3.0,376804,2.5,"10,000+",Free,0.99,Mature 17+,Music,2024-02-11,6.0 and up
App_187,LIFESTYLE,4.7,3878460,2.5,"1,000+",Free,0.99,Everyone,Action,2024-04-02,6.0 and up
App_188,LIFESTYLE,4.3,3033359,2.5,"100,000+",Free,0.99,Teen,Music,2024-07-03,5.0 and up
App_189,EDUCATION,3.9,1521476,2.5,"100,000+",Free,0.99,Mature 17+,Education,2024-08-02,6.0 and up
App_190,EDUCATION,3.7,2480262,2.5,"1,000,000+",Free,2.99,Mature 17+,Music,2024-01-17,6.0 and up
App_191,EDUCATION,3.9,782887,2.5,"1,000,000+",Free,4.99,Teen,Education,2024-09-21,6.0 and up
App_192,LIFESTYLE,2.9,4902835,2.5,"100,000+",Free,2.99,Everyone,Puzzle,2024-04-23,6.0 and up
App_193,HEALTH,3.0,3885190,2.5,"1,000,000+",Free,2.99,Mature 17+,Puzzle,2024-10-18,5.0 and up
App_194,LIFESTYLE,2.7,3610803,2.5,"10,000+",Free,0.0,Everyone,Business,2024-10-18,6.0 and up
App_195,PRODUCTIVITY,2.9,3299983,2.5,"10,000,000+",Free,0.0,Everyone,Education,2024-02-17,6.0 and up
App_196,GAME,3.6,3080987,2.5,"10,000,000+",Paid,0.0,Everyone,Health,2024-11-02,6.0 and up
App_197,ENTERTAINMENT,3.8,2299909,2.5,"10,000+",Free,1.99,Everyone,Puzzle,2024-04-06,4.1 and up
App_198,HEALTH,2.5,1972434,2.5,"10,000,000+",Free,0.0,Mature 17+,Music,2024-04-04,5.0 and up
App_199,BUSINESS,4.5,1336102,2.5,"1,000+",Free,4.99,Mature 17+,Action,2024-11-21,4.1 and up
App_200,ENTERTAINMENT,3.2,850360,2.5,"10,000+",Free,2.99,Everyone,Action,2024-03-14,4.1 and up
App_201,GAME,4.8,3479037,2.5,"1,000,000+",Free,4.99,Everyone,Tools,2024-12-01,5.0 and up
App_202,PRODUCTIVITY,4.9,3205238,2.5,"10,000+",Free,0.0,Teen,Education,2024-03-08,4.1 and up
App_203,PRODUCTIVITY,3.0,167657,2.5,"100,000+",Free,1.99,Teen,Health,2024-09-02,4.1 and up
App_204,BUSINESS,3.7,2333689,2.5,"1,000,000+",Paid,1.99,Teen,Business,2024-03-17,4.1 and up
App_205,HEALTH,2.5,435487,2.5,"100,000+",Free,2.99,Mature 17+,Music,2024-07-26,5.0 and up
App_206,EDUCATION,4.0,1683533,2.5,"1,000,000+",Free,4.99,Teen,Education,2024-09-10,6.0 and up
App_207,HEALTH,4.0,4196666,2.5,"10,000,000+",Paid,0.99,Mature 17+,Tools,2024-08-08,8.0 and up
App_208,PRODUCTIVITY,3.1,4327318,2.5,"10,000+",Free,4.99,Mature 17+,Action,2024-09-18,8.0 and up
App_209,LIFESTYLE,3.9,2960043,2.5,"1,000+",Paid,0.0,Mature 17+,Education,2024-11-26,5.0 and up
App_210,GAME,3.1,1581430,2.5,"1,000,000+",Free,0.99,Mature 17+,Music,2024-12-09,8.0 and up
App_211,BUSINESS,2.9,786271,2.5,"1,000,000+",Free,1.99,Teen,Health,2024-09-15,5.0 and up
App_212,GAME,4.1,3494718,2.5,"100,000+",Free,2.99,Everyone,Health,2024-11-03,5.0 and up
App_213,TOOLS,3.3,2828640,2.5,"10,000,000+",Free,2.99,Everyone,Puzzle,2024-03-14,8.0 and up
App_214,TOOLS,4.0,4244412,2.5,"100,000+",Paid,1.99,Everyone,Music,2024-05-04,4.1 and up
App_215,HEALTH,3.6,3079052,2.5,"100,000+",Free,0.0,Teen,Tools,2024-07-06,6.0 and up
App_216,PRODUCTIVITY,5.0,2762091,2.5,"10,000,000+",Free,1.99,Everyone,Puzzle,2024-09-10,8.0 and up
App_217,PRODUCTIVITY,2.9,126070,2.5,"1,000+",Free,0.0,Teen,Puzzle,2024-11-16,8.0 and up
App_218,EDUCATION,3.7,4324858,2.5,"100,000+",Free,0.99,Teen,Puzzle,2024-11-03,8.0 and up
App_219,EDUCATION,4.2,2796471,2.5,"100,000+",Free,1.99,Teen,Education,2024-08-22,8.0 and up
App_220,EDUCATION,3.5,3077109,2.5,"1,000,000+",Free,0.0,Everyone,Tools,2024-09-06,5.0 and up
App_221,LIFESTYLE,4.9,2844190,2.5,"10,000,000+",Free,0.99,Everyone,Action,2024-11-27,5.0 and up
App_222,ENTERTAINMENT,4.3,2621588,2.5,"10,000+",Free,1.99,Everyone,Health,2024-12-10,6.0 and up
App_223,FINANCE,4.1,4587888,2.5,"1,000+",Free,2.99,Mature 17+,Education,2024-03-12,6.0 and up
App_224,ENTERTAINMENT,4.4,1672805,2.5,"1,000+",Free,1.99,Teen,Action,2024-08-22,8.0 and up
App_225,GAME,4.9,4093896,2.5,"10,000,000+",Free,4.99,Mature 17+,Health,2024-11-19,8.0 and up
App_226,ENTERTAINMENT,4.8,2254113,2.5,"1,000,000+",Free,1.99,Teen,Tools,2024-06-04,8.0 and up
App_227,LIFESTYLE,4.3,2939372,2.5,"1,000,000+",Free,4.99,Everyone,Tools,2024-04-24,6.0 and up
App_228,GAME,4.4,562070,2.5,"10,000,000+",Free,0.99,Teen,Music,2024-11-08,8.0 and up
App_229,ENTERTAINMENT,2.9,1506155,2.5,"1,000,000+",Free,1.99,Teen,Health,2024-08-15,4.1 and up
App_230,LIFESTYLE,2.8,2648212,2.5,"1,000+",Free,0.99,Mature 17+,Health,2024-11-17,6.0 and up
